bbl,address,lotarea,zonedist1,landuse,overlay1,max_height,maxComm,maxResi,WAREHOUSES,INDUSTRIAL/RETAIL,MAKERS/OFFICE,HOUSING UNITS,RESIDENTS (PPL),current_height,current_RESIDENTS (PPL),current_WAREHOUSES,current_INDUSTRIAL/RETAIL,current_OFFICE,total_JOBS
3004920020,628 SMITH STREET,20000.0,M3-1,Industrial & Manufacturing,,60.0,40000.0,0.0,13.0,66.0,200.0,0.0,0.0,45.0,0.0,20.0,0.0,0.0,20.0
3005340045,11 WEST 9 STREET,2000.0,R5,,,30.0,0.0,2500.0,0.0,0.0,0.0,3.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0
3005980012,101 COFFEY STREET,2150.0,M1-1,One & Two Family Buildings,,30.0,2150.0,0.0,0.0,3.0,10.0,0.0,0.0,45.0,5.0,0.0,0.0,0.0,0.0
3005170033,250 VAN BRUNT STREET,1605.0,M2-1,Mixed Residential & Commercial Buildings,,60.0,3210.0,0.0,1.0,5.0,16.0,0.0,0.0,45.0,5.0,0.0,2.0,0.0,2.0
3005550027,SULLIVAN STREET,1000.0,R5,Vacant Land,C1-3,30.0,1000.0,1250.0,0.0,1.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3005970026,416 VAN BRUNT STREET,1725.0,M1-1/R5,Mixed Residential & Commercial Buildings,,60.0,1725.0,2156.25,0.0,2.0,8.0,2.0,5.0,44.0,19.0,0.0,2.0,0.0,2.0
3005110003,213 VAN BRUNT STREET,2250.0,M1-1,One & Two Family Buildings,,30.0,2250.0,0.0,0.0,3.0,11.0,0.0,0.0,30.0,5.0,0.0,0.0,0.0,0.0
3005120037,364 COLUMBIA STREET,1577.0,M1-1,Mixed Residential & Commercial Buildings,,30.0,1577.0,0.0,0.0,2.0,7.0,0.0,0.0,45.0,5.0,0.0,0.0,1.0,1.0
3005290023,276 VAN BRUNT STREET,2250.0,M2-1,Transportation & Utility,,60.0,4500.0,0.0,1.0,7.0,22.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
3005860040,148 COFFEY STREET,1200.0,R5,One & Two Family Buildings,,30.0,0.0,1500.0,0.0,0.0,0.0,1.0,2.0,22.0,2.0,0.0,0.0,0.0,0.0
3006120205,790 COLUMBIA STREET,3127835.0,M3-1,Industrial & Manufacturing,,60.0,6255670.0,0.0,2085.0,10426.0,31278.0,0.0,0.0,15.0,0.0,32.0,0.0,0.0,32.0
3005290030,288 VAN BRUNT STREET,1688.0,M2-1,Multi-Family Walk-Up Buildings,,60.0,3376.0,0.0,1.0,5.0,16.0,0.0,0.0,45.0,8.0,0.0,0.0,0.0,0.0
3005870007,369 VAN BRUNT STREET,2250.0,R5,Mixed Residential & Commercial Buildings,C1-3,30.0,2250.0,2812.5,0.0,3.0,11.0,3.0,8.0,33.0,8.0,0.0,2.0,0.0,2.0
3005350043,61 WEST 9 STREET,2000.0,M1-1,Parking Facilities,,30.0,2000.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3005560118,113A KING STREET,1683.0,R5,One & Two Family Buildings,,30.0,0.0,2103.75,0.0,0.0,0.0,2.0,5.0,33.0,2.0,0.0,0.0,0.0,0.0
3005460003,305 VAN BRUNT STREET,2160.0,R5,Multi-Family Walk-Up Buildings,C1-3,30.0,2160.0,2700.0,0.0,3.0,10.0,3.0,8.0,33.0,8.0,0.0,0.0,0.0,0.0
3005460022,107 PIONEER STREET,1667.0,R5,One & Two Family Buildings,,30.0,0.0,2083.75,0.0,0.0,0.0,2.0,5.0,22.0,5.0,0.0,0.0,0.0,0.0
3005260024,80 NELSON STREET,1244.0,M1-1,,,30.0,1244.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3005460001,309 VAN BRUNT STREET,2250.0,R5,One & Two Family Buildings,C1-3,30.0,2250.0,2812.5,0.0,3.0,11.0,3.0,8.0,33.0,5.0,0.0,0.0,0.0,0.0
3005620037,211 BUSH STREET,16250.0,M1-1,Industrial & Manufacturing,,30.0,16250.0,0.0,5.0,27.0,81.0,0.0,0.0,15.0,0.0,5.0,0.0,0.0,5.0
3005120039,368 COLUMBIA STREET,1541.0,M1-1,One & Two Family Buildings,,30.0,1541.0,0.0,0.0,2.0,7.0,0.0,0.0,45.0,5.0,0.0,0.0,0.0,0.0
3005550026,352 VAN BRUNT STREET,1750.0,R5,Mixed Residential & Commercial Buildings,C1-3,30.0,1750.0,2187.5,0.0,2.0,8.0,2.0,5.0,33.0,5.0,0.0,1.0,0.0,1.0
3005560111,123 KING STREET,1683.0,R5,One & Two Family Buildings,C1-3,30.0,1683.0,2103.75,0.0,2.0,8.0,2.0,5.0,33.0,2.0,0.0,0.0,0.0,0.0
3006140001,685 COLUMBIA STREET,1981175.0,M3-1,Industrial & Manufacturing,,60.0,3962350.0,0.0,1320.0,6603.0,19811.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0
3005760010,87 WOLCOTT STREET,5875.0,R5,Mixed Residential & Commercial Buildings,C1-3,30.0,5875.0,7343.75,1.0,9.0,29.0,9.0,24.0,44.0,24.0,0.0,5.0,1.0,6.0
3005560146,78 SULLIVAN STREET,1752.0,R5,One & Two Family Buildings,C1-3,30.0,1752.0,2190.0,0.0,2.0,8.0,2.0,5.0,33.0,2.0,0.0,0.0,0.0,0.0
3005170034,252 VAN BRUNT STREET,1605.0,M2-1,Industrial & Manufacturing,,60.0,3210.0,0.0,1.0,5.0,16.0,0.0,0.0,45.0,0.0,0.0,0.0,3.0,3.0
3005560040,66 SULLIVAN STREET,2700.0,R5,Multi-Family Walk-Up Buildings,,30.0,0.0,3375.0,0.0,0.0,0.0,4.0,10.0,33.0,16.0,0.0,0.0,0.0,0.0
